,walk_forward_equity
2023-03-06,99347.39522266388
2023-03-07,99393.3239030838
2023-03-08,99250.5434923172
2023-03-09,99269.10818958282
2023-03-10,99021.48413562775
2023-03-13,98351.77069568634
2023-03-14,98739.28384113312
2023-03-15,97172.70158863068
2023-03-16,98904.48849201202
2023-03-17,96870.74840641022
2023-03-20,98844.01033496857
2023-03-21,101223.14290332794
2023-03-22,101849.87353992462
2023-03-23,101461.70597934723
2023-03-24,100556.80645465851
2023-03-27,101746.24413013458
2023-03-28,101546.57838153839
2023-03-29,102111.3141374588
2023-03-30,102200.50056934357
2023-03-31,102225.59768390656
2023-04-03,102063.50871753693
2023-04-04,102063.50871753693
2023-04-05,102063.50871753693
2023-04-06,102063.50871753693
2023-04-11,102063.50871753693
2023-04-12,102063.50871753693
2023-04-13,102063.50871753693
2023-04-14,102063.50871753693
2023-04-17,102063.50871753693
2023-04-18,102063.50871753693
2023-04-19,102063.50871753693
2023-04-20,101920.1606874466
2023-04-21,101964.64580631256
2023-04-24,101930.04562473297
2023-04-25,101737.2651720047
2023-04-26,101386.30058002472
2023-04-27,101400.5458650589
2023-04-28,102030.83957004547
2023-05-02,101987.3202867508
2023-05-03,102072.15200519562
2023-05-04,103076.76683521271
2023-05-05,102895.95214939117
2023-05-08,102503.26718616486
2023-05-09,102520.62765216827
2023-05-10,102229.16090106964
2023-05-11,102528.94588947296
2023-05-12,103028.61711215973
2023-05-15,103244.0912027359
2023-05-16,103940.58511447906
2023-05-17,104269.87126255035
2023-05-18,104370.67256259918
2023-05-19,104370.67256259918
2023-05-22,104370.67256259918
2023-05-23,104370.67256259918
2023-05-24,104370.67256259918
2023-05-25,104413.15417575836
2023-05-26,104826.77838230133
2023-05-29,104936.35998630524
2023-05-30,104178.22003650665
2023-05-31,103425.2524843216
2023-06-01,104109.43449878693
2023-06-02,102828.26605892181
2023-06-05,102563.95862483978
2023-06-06,102712.03074741364
2023-06-07,102611.75426006317
2023-06-08,102719.31826496124
2023-06-09,102526.17186832428
2023-06-12,102745.6638250351
2023-06-13,102862.61165332794
2023-06-14,102989.3541135788
2023-06-15,103106.59180355072
2023-06-16,103138.27769565582
2023-06-19,103138.27769565582
2023-06-20,103267.05278110504
2023-06-21,102964.92781162262
2023-06-22,102895.58708286285
2023-06-23,103244.58155155182
2023-06-26,103277.4556055069
2023-06-27,102906.18763828278
2023-06-28,103134.9477853775
2023-06-29,102749.88359165192
2023-06-30,103444.24832248688
2023-07-03,103084.03433322906
2023-07-04,102684.09040927887
