,BBfull,BBOU,DAX
2023-08-03,84245.2633702755,96140.01677465439,123478.35250828452
2023-08-04,84996.90571570396,96494.26095151901,123932.69714664374
2023-08-07,84937.43158507347,96537.55661916733,123924.14650861971
2023-08-08,82979.25351214409,96148.70852136612,122558.09293610322
2023-08-09,83541.52743029594,96162.40733575821,123161.37193507615
2023-08-10,83947.5384824276,95931.30914258957,124279.66185602866
2023-08-11,84520.27798819542,96373.55193281174,123002.80198414256
2023-08-14,83891.54911398888,96507.87670087814,123562.8042845449
2023-08-15,83279.02438139915,96291.08437490463,122498.66334635857
2023-08-16,83193.64544081688,96269.11919546127,122670.90521363584
2023-08-17,82589.17377924919,95742.00885820389,121796.48677272441
2023-08-18,81758.70465540886,95383.97872972488,120999.05442234522
2023-08-21,82595.28107905388,94914.70341920853,121224.51964875162
2023-08-22,83076.68095469475,95565.82781267166,122019.61517880126
2023-08-23,83583.38733363152,96204.27796602249,122196.67484123848
2023-08-24,83503.07584834099,95876.06558656693,121365.99591071617
2023-08-25,83141.95072627068,95664.78240633011,121446.25203229395
2023-08-28,83525.15746378899,95979.67934083939,122695.45700125406
2023-08-29,83459.95973658562,96125.11046266556,123769.69634157879
2023-08-30,84474.55064177513,96445.96250200272,123467.08569598135
2023-08-31,84301.05802893639,96466.94268655777,123895.55839497772
2023-09-01,84441.11660456657,96464.78895235062,123066.27548698994
2023-09-04,84462.3765733242,96691.44266748428,122945.92924001823
2023-09-05,84861.76808905602,97133.26318979263,122533.07833666647
2023-09-06,84558.18444132805,97181.41054391861,122297.36296654181
2023-09-07,83689.04215884209,97184.12824869156,122120.92544458197
2023-09-08,83851.75201487541,96449.5560002327,122289.04752796654
